Algorithm,Time_s,Altitude_m,Longitude_rad,Latitude_rad,Longitude_deg,Latitude_deg,Velocity_mps,FlightPath_rad,FlightPath_deg,Azimuth_rad,Azimuth_deg,HeatLoad_Jm2,PositionX_km,PositionY_km,PositionZ_km,ReferenceAltitude_m,ReferenceLongitude_rad,ReferenceLatitude_rad,ReferenceLongitude_deg,ReferenceLatitude_deg,ReferenceVelocity_mps,ReferenceFlightPath_rad,ReferenceFlightPath_deg,ReferenceAzimuth_rad,ReferenceAzimuth_deg,ReferencePositionX_km,ReferencePositionY_km,ReferencePositionZ_km,PositionErrorX_km,PositionErrorY_km,PositionErrorZ_km,PositionErrorNorm_km,AtmosphericDensity_kgm3,BankAngle_rad,BankAngle_deg,AngleOfAttack_rad,AngleOfAttack_deg,ReferenceBankAngle_rad,ReferenceBankAngle_deg,ReferenceAngleOfAttack_rad,ReferenceAngleOfAttack_deg,HeatRate_Wm2
MPg,0.0,125000.0,0.0,0.0,0.0,0.0,7200.0,-0.017453292519943295,-1.0,1.5707963267948966,90.0,0.0,6503.137,0.0,0.0,125000.0,0.0,0.0,0.0,0.0,7200.0,-0.017453292519943295,-1.0,1.5707963267948966,90.0,6503.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPg,0.1,124987.42698677715,0.00011069914905157553,6.778367927717387e-21,0.006342594036344908,3.8837187424504413e-19,7200.016458838671,-0.017473479489556562,-1.001156628159999,1.5707963267948966,90.0,0.0,6503.124387141153,0.7198903387736587,4.408057004584268e-17,124987.37613409219,0.00011070065031918164,6.778459866706122e-21,0.0063426800526426574,3.8837714196107134e-19,7200.0165186525865,-0.017473481058813856,-1.0011567180718188,1.5707963267948968,90.00000000000001,6503.124336287387,0.7199000960742142,4.408116759182323e-17,5.0853765969804954e-5,-9.75730055552404e-6,-5.975459805484827e-22,5.178137143261582e-5,9.381924144352994e-9,0.0,0.0,0.0,0.0,9.851361350326692e-14,5.6444142783201905e-12,2.7378125626523643e-5,0.0015686510493787675,0.0
MPg,0.1,124987.42698677715,0.00011069914905157553,6.778367927717387e-21,0.006342594036344908,3.8837187424504413e-19,7200.016458838671,-0.017473479489556562,-1.001156628159999,1.5707963267948966,90.0,0.0,6503.124387141153,0.7198903387736587,4.408057004584268e-17,124987.37613409219,0.00011070065031918164,6.778459866706122e-21,0.0063426800526426574,3.8837714196107134e-19,7200.0165186525865,-0.017473481058813856,-1.0011567180718188,1.5707963267948968,90.00000000000001,6503.124336287387,0.7199000960742142,4.408116759182323e-17,5.0853765969804954e-5,-9.75730055552404e-6,-5.975459805484827e-22,5.178137143261582e-5,9.381924144352994e-9,0.0,0.0,0.0,0.0,9.851361350326692e-14,5.6444142783201905e-12,2.7378125626523643e-5,0.0015686510493787675,0.0
MPg,0.1,124987.42698677715,0.00011069914905157553,6.778367927717387e-21,0.006342594036344908,3.8837187424504413e-19,7200.016458838671,-0.017473479489556562,-1.001156628159999,1.5707963267948966,90.0,0.0,6503.124387141153,0.7198903387736587,4.408057004584268e-17,124987.37613409219,0.00011070065031918164,6.778459866706122e-21,0.0063426800526426574,3.8837714196107134e-19,7200.0165186525865,-0.017473481058813856,-1.0011567180718188,1.5707963267948968,90.00000000000001,6503.124336287387,0.7199000960742142,4.408116759182323e-17,5.0853765969804954e-5,-9.75730055552404e-6,-5.975459805484827e-22,5.178137143261582e-5,9.381924144352994e-9,0.0,0.0,0.0,0.0,9.851361350326692e-14,5.6444142783201905e-12,2.7378125626523643e-5,0.0015686510493787675,0.0
MPg,0.1,124987.42698677715,0.00011069914905157553,6.778367927717387e-21,0.006342594036344908,3.8837187424504413e-19,7200.016458838671,-0.017473479489556562,-1.001156628159999,1.5707963267948966,90.0,0.0,6503.124387141153,0.7198903387736587,4.408057004584268e-17,124987.37613409219,0.00011070065031918164,6.778459866706122e-21,0.0063426800526426574,3.8837714196107134e-19,7200.0165186525865,-0.017473481058813856,-1.0011567180718188,1.5707963267948968,90.00000000000001,6503.124336287387,0.7199000960742142,4.408116759182323e-17,5.0853765969804954e-5,-9.75730055552404e-6,-5.975459805484827e-22,5.178137143261582e-5,9.381924144352994e-9,0.0,0.0,0.0,0.0,9.851361350326692e-14,5.6444142783201905e-12,2.7378125626523643e-5,0.0015686510493787675,0.0
MPg,0.2,124974.83941176445,0.00022139872635726607,1.3556762078436335e-20,0.012685212609843165,7.767452509574039e-19,7200.032931578326,-0.01749366809084693,-1.0023133498082095,1.5707963267948966,90.0,0.0047382056286698225,6503.111680028961,1.4397806668422393,8.816113997636778e-17,124974.75226818435,0.00022140130063836327,1.3556919733412243e-20,0.012685360105285315,7.767542839221427e-19,7200.033037305172,-0.017493669597684416,-1.0023134361436379,1.5707963267948966,90.0,6503.111592881676,1.4397973883860082,8.816216404290962e-17,8.714728483028011e-5,-1.6721543768971614e-5,-1.0240665418402972e-21,8.873702316005199e-5,9.393142202363603e-9,9.851276720122028e-14,5.644365788784725e-12,2.737463713134429e-5,0.001568451173328139,1.9702722700653383e-13,1.1288828556640381e-11,5.475625125304729e-5,0.003137302098757535,0.04738230089393491
MPg,0.2,124974.83941176445,0.00022139872635726607,1.3556762078436335e-20,0.012685212609843165,7.767452509574039e-19,7200.032931578326,-0.01749366809084693,-1.0023133498082095,1.5707963267948966,90.0,0.0047382056286698225,6503.111680028961,1.4397806668422393,8.816113997636778e-17,124974.75226818435,0.00022140130063836327,1.3556919733412243e-20,0.012685360105285315,7.767542839221427e-19,7200.033037305172,-0.017493669597684416,-1.0023134361436379,1.5707963267948966,90.0,6503.111592881676,1.4397973883860082,8.816216404290962e-17,8.714728483028011e-5,-1.6721543768971614e-5,-1.0240665418402972e-21,8.873702316005199e-5,9.393142202363603e-9,9.851276720122028e-14,5.644365788784725e-12,2.737463713134429e-5,0.001568451173328139,1.9702722700653383e-13,1.1288828556640381e-11,5.475625125304729e-5,0.003137302098757535,0.04738230089393491
MPg,0.30000000000000004,124962.23727437985,0.00033209873237356285,2.033518248010887e-20,0.01902785574664979,1.1651201317386125e-18,7200.04942340095,-0.017513856426833882,-1.003470056255654,1.5707963267948966,90.0,0.009481159768608707,6503.09887866238,2.159670973500108,1.322417096762313e-16,124962.12840227655,0.0003321019509575449,2.0335379600118363e-20,0.019028040157927972,1.165131425883214e-18,7200.049555957758,-0.017513858136554976,-1.0034701542154567,1.5707963267948966,90.0,6503.098769783332,2.1596918681133555,1.3224298935325918e-16,0.00010887904863920994,-2.089461324761288e-5,-1.2796770278629538e-21,0.0001108658292502553,9.404392524573363e-9,9.851276720122028e-14,5.644365788784725e-12,2.737463713134429e-5,0.001568451173328139,2.9554084050980076e-13,1.6933242834960573e-11,8.213437687957092e-5,0.004705953148136302,0.04742978653480018
MPg,0.30000000000000004,124962.23727437985,0.00033209873237356285,2.033518248010887e-20,0.01902785574664979,1.1651201317386125e-18,7200.04942340095,-0.017513856426833882,-1.003470056255654,1.5707963267948966,90.0,0.009481159768608707,6503.09887866238,2.159670973500108,1.322417096762313e-16,124962.12840227655,0.0003321019509575449,2.0335379600118363e-20,0.019028040157927972,1.165131425883214e-18,7200.049555957758,-0.017513858136554976,-1.0034701542154567,1.5707963267948966,90.0,6503.098769783332,2.1596918681133555,1.3224298935325918e-16,0.00010887904863920994,-2.089461324761288e-5,-1.2796770278629538e-21,0.0001108658292502553,9.404392524573363e-9,9.851276720122028e-14,5.644365788784725e-12,2.737463713134429e-5,0.001568451173328139,2.9554084050980076e-13,1.6933242834960573e-11,8.213437687957092e-5,0.004705953148136302,0.04742978653480018
MPg,0.4,124949.6205747196,0.0004427991675986335,2.7113629163238954e-20,0.02537052347530769,1.553496518336418e-18,7200.065934306493,-0.017534044497214196,-1.0046267474849588,1.5707963267948966,90.0,0.014228875130076797,6503.085983041046,2.879561248312502,1.7632227904668374e-16,124949.50453636874,0.00044280260127672655,2.7113839466824486e-20,0.02537072021057063,1.5535085678442854e-18,7200.066074610344,-0.017534046675425533,-1.0046268722872755,1.5707963267948966,90.0,6503.08586699282,2.879583526434298,1.763236435228719e-16,0.00011604822611843701,-2.2278121796226458e-5,-1.3644761881506122e-21,0.00011816727760257231,9.415675223735298e-9,9.851276720122028e-14,5.644365788784725e-12,2.737463713134429e-5,0.001568451173328139,3.9405445401306767e-13,2.2577657113280762e-11,0.00010951250250609457,0.00627460419751507,0.04747739927948857
MPg,0.4,124949.6205747196,0.0004427991675986335,2.7113629163238954e-20,0.02537052347530769,1.553496518336418e-18,7200.065934306493,-0.017534044497214196,-1.0046267474849588,1.5707963267948966,90.0,0.014228875130076797,6503.085983041046,2.879561248312502,1.7632227904668374e-16,124949.50453636874,0.00044280260127672655,2.7113839466824486e-20,0.02537072021057063,1.5535085678442854e-18,7200.066074610344,-0.017534046675425533,-1.0046268722872755,1.5707963267948966,90.0,6503.08586699282,2.879583526434298,1.763236435228719e-16,0.00011604822611843701,-2.2278121796226458e-5,-1.3644761881506122e-21,0.00011816727760257231,9.415675223735298e-9,9.851276720122028e-14,5.644365788784725e-12,2.737463713134429e-5,0.001568451173328139,3.9405445401306767e-13,2.2577657113280762e-11,0.00010951250250609457,0.00627460419751507,0.04747739927948857
