Algorithm,Time_s,Altitude_m,Longitude_rad,Latitude_rad,Longitude_deg,Latitude_deg,Velocity_mps,FlightPath_rad,FlightPath_deg,Azimuth_rad,Azimuth_deg,HeatLoad_Jm2,PositionX_km,PositionY_km,PositionZ_km,ReferenceAltitude_m,ReferenceLongitude_rad,ReferenceLatitude_rad,ReferenceLongitude_deg,ReferenceLatitude_deg,ReferenceVelocity_mps,ReferenceFlightPath_rad,ReferenceFlightPath_deg,ReferenceAzimuth_rad,ReferenceAzimuth_deg,ReferencePositionX_km,ReferencePositionY_km,ReferencePositionZ_km,PositionErrorX_km,PositionErrorY_km,PositionErrorZ_km,PositionErrorNorm_km,AtmosphericDensity_kgm3,BankAngle_rad,BankAngle_deg,AngleOfAttack_rad,AngleOfAttack_deg,ReferenceBankAngle_rad,ReferenceBankAngle_deg,ReferenceAngleOfAttack_rad,ReferenceAngleOfAttack_deg,HeatRate_Wm2
Integral MPg,0.0,125000.0,0.0,0.0,0.0,0.0,7200.0,-0.017453292519943295,-1.0,1.5707963267948966,90.0,0.0,6503.137,0.0,0.0,125000.0,0.0,0.0,0.0,0.0,7200.0,-0.017453292519943295,-1.0,1.5707963267948966,90.0,6503.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integral MPg,0.1,124987.42698677715,0.00011069914905157553,6.778367927717387e-21,0.006342594036344908,3.8837187424504413e-19,7200.016458838671,-0.017473479489556562,-1.001156628159999,1.5707963267948966,90.0,0.0,6503.124387141153,0.7198903387736587,4.408057004584268e-17,124987.37613409219,0.00011070065031918164,6.778459866706122e-21,0.0063426800526426574,3.8837714196107134e-19,7200.0165186525865,-0.017473481058813856,-1.0011567180718188,1.5707963267948968,90.00000000000001,6503.124336287387,0.7199000960742142,4.408116759182323e-17,5.0853765969804954e-5,-9.75730055552404e-6,-5.975459805484827e-22,5.178137143261582e-5,9.381924144352994e-9,0.0,0.0,0.0,0.0,9.851361350326692e-14,5.6444142783201905e-12,2.7378125626523643e-5,0.0015686510493787675,0.0
Integral MPg,0.1,124987.42698677715,0.00011069914905157553,6.778367927717387e-21,0.006342594036344908,3.8837187424504413e-19,7200.016458838671,-0.017473479489556562,-1.001156628159999,1.5707963267948966,90.0,0.0,6503.124387141153,0.7198903387736587,4.408057004584268e-17,124987.37613409219,0.00011070065031918164,6.778459866706122e-21,0.0063426800526426574,3.8837714196107134e-19,7200.0165186525865,-0.017473481058813856,-1.0011567180718188,1.5707963267948968,90.00000000000001,6503.124336287387,0.7199000960742142,4.408116759182323e-17,5.0853765969804954e-5,-9.75730055552404e-6,-5.975459805484827e-22,5.178137143261582e-5,9.381924144352994e-9,0.0,0.0,0.0,0.0,9.851361350326692e-14,5.6444142783201905e-12,2.7378125626523643e-5,0.0015686510493787675,0.0
Integral MPg,0.1,124987.42698677715,0.00011069914905157553,6.778367927717387e-21,0.006342594036344908,3.8837187424504413e-19,7200.016458838671,-0.017473479489556562,-1.001156628159999,1.5707963267948966,90.0,0.0,6503.124387141153,0.7198903387736587,4.408057004584268e-17,124987.37613409219,0.00011070065031918164,6.778459866706122e-21,0.0063426800526426574,3.8837714196107134e-19,7200.0165186525865,-0.017473481058813856,-1.0011567180718188,1.5707963267948968,90.00000000000001,6503.124336287387,0.7199000960742142,4.408116759182323e-17,5.0853765969804954e-5,-9.75730055552404e-6,-5.975459805484827e-22,5.178137143261582e-5,9.381924144352994e-9,0.0,0.0,0.0,0.0,9.851361350326692e-14,5.6444142783201905e-12,2.7378125626523643e-5,0.0015686510493787675,0.0
Integral MPg,0.1,124987.42698677715,0.00011069914905157553,6.778367927717387e-21,0.006342594036344908,3.8837187424504413e-19,7200.016458838671,-0.017473479489556562,-1.001156628159999,1.5707963267948966,90.0,0.0,6503.124387141153,0.7198903387736587,4.408057004584268e-17,124987.37613409219,0.00011070065031918164,6.778459866706122e-21,0.0063426800526426574,3.8837714196107134e-19,7200.0165186525865,-0.017473481058813856,-1.0011567180718188,1.5707963267948968,90.00000000000001,6503.124336287387,0.7199000960742142,4.408116759182323e-17,5.0853765969804954e-5,-9.75730055552404e-6,-5.975459805484827e-22,5.178137143261582e-5,9.381924144352994e-9,0.0,0.0,0.0,0.0,9.851361350326692e-14,5.6444142783201905e-12,2.7378125626523643e-5,0.0015686510493787675,0.0
Integral MPg,0.2,124974.83941176475,0.00022139872635727677,1.3556762078436985e-20,0.012685212609843777,7.7674525095744115e-19,7200.032931579614,-0.01749366808999623,-1.0023133497594678,1.5707963267948966,90.0,0.004738205628671744,6503.111680028961,1.439780666842309,8.8161139976372e-17,124974.75226818435,0.00022140130063836327,1.3556919733412243e-20,0.012685360105285315,7.767542839221427e-19,7200.033037305172,-0.017493669597684416,-1.0023134361436379,1.5707963267948966,90.0,6503.111592881676,1.4397973883860082,8.816216404290962e-17,8.714728483028011e-5,-1.6721543699249608e-5,-1.0240665376124958e-21,8.873702314691363e-5,9.393142202363335e-9,3.2241140422397804e-13,1.8472812728920306e-11,8.271372721148547e-5,0.004739147477014509,1.9702722700653383e-13,1.1288828556640381e-11,5.475625125304729e-5,0.003137302098757535,0.047382300893973175
Integral MPg,0.2,124974.83941176475,0.00022139872635727677,1.3556762078436985e-20,0.012685212609843777,7.7674525095744115e-19,7200.032931579614,-0.01749366808999623,-1.0023133497594678,1.5707963267948966,90.0,0.004738205628671744,6503.111680028961,1.439780666842309,8.8161139976372e-17,124974.75226818435,0.00022140130063836327,1.3556919733412243e-20,0.012685360105285315,7.767542839221427e-19,7200.033037305172,-0.017493669597684416,-1.0023134361436379,1.5707963267948966,90.0,6503.111592881676,1.4397973883860082,8.816216404290962e-17,8.714728483028011e-5,-1.6721543699249608e-5,-1.0240665376124958e-21,8.873702314691363e-5,9.393142202363335e-9,3.2241140422397804e-13,1.8472812728920306e-11,8.271372721148547e-5,0.004739147477014509,1.9702722700653383e-13,1.1288828556640381e-11,5.475625125304729e-5,0.003137302098757535,0.047382300893973175
Integral MPg,0.30000000000000004,124962.23727438107,0.00033209873237360573,2.0335182480111488e-20,0.01902785574665225,1.1651201317387623e-18,7200.049423403529,-0.017513856425131417,-1.0034700561581098,1.5707963267948966,90.0,0.009481159768616259,6503.098878662382,2.159670973500387,1.3224170967624837e-16,124962.12840227655,0.0003321019509575449,2.0335379600118363e-20,0.019028040157927972,1.165131425883214e-18,7200.049555957758,-0.017513858136554976,-1.0034701542154567,1.5707963267948966,90.0,6503.098769783332,2.1596918681133555,1.3224298935325918e-16,0.00010887905045819934,-2.0894612968280768e-5,-1.2796770108038367e-21,0.00011086583098400232,9.404392524572309e-9,3.2241140422397804e-13,1.8472812728920306e-11,8.271372721148547e-5,0.004739147477014509,2.9554084050980076e-13,1.6933242834960573e-11,8.213437687957092e-5,0.004705953148136302,0.047429786534875715
Integral MPg,0.30000000000000004,124962.23727438107,0.00033209873237360573,2.0335182480111488e-20,0.01902785574665225,1.1651201317387623e-18,7200.049423403529,-0.017513856425131417,-1.0034700561581098,1.5707963267948966,90.0,0.009481159768616259,6503.098878662382,2.159670973500387,1.3224170967624837e-16,124962.12840227655,0.0003321019509575449,2.0335379600118363e-20,0.019028040157927972,1.165131425883214e-18,7200.049555957758,-0.017513858136554976,-1.0034701542154567,1.5707963267948966,90.0,6503.098769783332,2.1596918681133555,1.3224298935325918e-16,0.00010887905045819934,-2.0894612968280768e-5,-1.2796770108038367e-21,0.00011086583098400232,9.404392524572309e-9,3.2241140422397804e-13,1.8472812728920306e-11,8.271372721148547e-5,0.004739147477014509,2.9554084050980076e-13,1.6933242834960573e-11,8.213437687957092e-5,0.004705953148136302,0.047429786534875715
Integral MPg,0.4,124949.62057472236,0.00044279916759873005,2.711362916324485e-20,0.025370523475313222,1.5534965183367557e-18,7200.065934310361,-0.017534044494658903,-1.0046267473385515,1.5707963267948966,90.0,0.0142288751300935,6503.08598304105,2.8795612483131316,1.763222790467222e-16,124949.50453636874,0.00044280260127672655,2.7113839466824486e-20,0.02537072021057063,1.5535085678442854e-18,7200.066074610344,-0.017534046675425533,-1.0046268722872755,1.5707963267948966,90.0,6503.08586699282,2.879583526434298,1.763236435228719e-16,0.00011604822975641582,-2.2278121166507958e-5,-1.364476149693643e-21,0.00011816728105659149,9.415675223732912e-9,3.2241140422397804e-13,1.8472812728920306e-11,8.271372721148547e-5,0.004739147477014509,3.9405445401306767e-13,2.2577657113280762e-11,0.00010951250250609457,0.00627460419751507,0.04747739927959924
