Algorithm,Time_s,Altitude_m,Longitude_rad,Latitude_rad,Longitude_deg,Latitude_deg,Velocity_mps,FlightPath_rad,FlightPath_deg,Azimuth_rad,Azimuth_deg,HeatLoad_Jm2,PositionX_km,PositionY_km,PositionZ_km,ReferenceAltitude_m,ReferenceLongitude_rad,ReferenceLatitude_rad,ReferenceLongitude_deg,ReferenceLatitude_deg,ReferenceVelocity_mps,ReferenceFlightPath_rad,ReferenceFlightPath_deg,ReferenceAzimuth_rad,ReferenceAzimuth_deg,ReferencePositionX_km,ReferencePositionY_km,ReferencePositionZ_km,PositionErrorX_km,PositionErrorY_km,PositionErrorZ_km,PositionErrorNorm_km,AtmosphericDensity_kgm3,BankAngle_rad,BankAngle_deg,AngleOfAttack_rad,AngleOfAttack_deg,ReferenceBankAngle_rad,ReferenceBankAngle_deg,ReferenceAngleOfAttack_rad,ReferenceAngleOfAttack_deg,HeatRate_Wm2
SM-MPG,0.0,125000.0,0.0,0.0,0.0,0.0,7200.0,-0.017453292519943295,-1.0,1.5707963267948966,90.0,0.0,6503.137,0.0,0.0,125000.0,0.0,0.0,0.0,0.0,7200.0,-0.017453292519943295,-1.0,1.5707963267948966,90.0,6503.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SM-MPG,0.1,124987.42698677715,0.00011069914905157553,6.778367927717387e-21,0.006342594036344908,3.8837187424504413e-19,7200.016458838671,-0.017473479489556562,-1.001156628159999,1.5707963267948966,90.0,0.0,6503.124387141153,0.7198903387736587,4.408057004584268e-17,124987.36145479925,0.00011070108596319794,5.229806728562519e-19,0.0063427050132061616,2.9964585321575245e-17,7200.0165378829815,-0.017473480792604506,-1.0011567028191468,1.5707963267948957,89.99999999999994,6503.124321607781,0.7199029274964049,3.4010083542215137e-15,6.553337243531132e-5,-1.2588722746231795e-5,-3.356927784175671e-15,6.673154308965675e-5,9.381924144352994e-9,0.0,0.0,0.0,0.0,7.409007817324648e-8,4.245048783121363e-6,-1.3807805406612075e-7,-7.911289741367915e-6,0.0
SM-MPG,0.1,124987.42698677715,0.00011069914905157553,6.778367927717387e-21,0.006342594036344908,3.8837187424504413e-19,7200.016458838671,-0.017473479489556562,-1.001156628159999,1.5707963267948966,90.0,0.0,6503.124387141153,0.7198903387736587,4.408057004584268e-17,124987.36145479925,0.00011070108596319794,5.229806728562519e-19,0.0063427050132061616,2.9964585321575245e-17,7200.0165378829815,-0.017473480792604506,-1.0011567028191468,1.5707963267948957,89.99999999999994,6503.124321607781,0.7199029274964049,3.4010083542215137e-15,6.553337243531132e-5,-1.2588722746231795e-5,-3.356927784175671e-15,6.673154308965675e-5,9.381924144352994e-9,0.0,0.0,0.0,0.0,7.409007817324648e-8,4.245048783121363e-6,-1.3807805406612075e-7,-7.911289741367915e-6,0.0
SM-MPG,0.1,124987.42698677715,0.00011069914905157553,6.778367927717387e-21,0.006342594036344908,3.8837187424504413e-19,7200.016458838671,-0.017473479489556562,-1.001156628159999,1.5707963267948966,90.0,0.0,6503.124387141153,0.7198903387736587,4.408057004584268e-17,124987.36145479925,0.00011070108596319794,5.229806728562519e-19,0.0063427050132061616,2.9964585321575245e-17,7200.0165378829815,-0.017473480792604506,-1.0011567028191468,1.5707963267948957,89.99999999999994,6503.124321607781,0.7199029274964049,3.4010083542215137e-15,6.553337243531132e-5,-1.2588722746231795e-5,-3.356927784175671e-15,6.673154308965675e-5,9.381924144352994e-9,0.0,0.0,0.0,0.0,7.409007817324648e-8,4.245048783121363e-6,-1.3807805406612075e-7,-7.911289741367915e-6,0.0
SM-MPG,0.1,124987.42698677715,0.00011069914905157553,6.778367927717387e-21,0.006342594036344908,3.8837187424504413e-19,7200.016458838671,-0.017473479489556562,-1.001156628159999,1.5707963267948966,90.0,0.0,6503.124387141153,0.7198903387736587,4.408057004584268e-17,124987.36145479925,0.00011070108596319794,5.229806728562519e-19,0.0063427050132061616,2.9964585321575245e-17,7200.0165378829815,-0.017473480792604506,-1.0011567028191468,1.5707963267948957,89.99999999999994,6503.124321607781,0.7199029274964049,3.4010083542215137e-15,6.553337243531132e-5,-1.2588722746231795e-5,-3.356927784175671e-15,6.673154308965675e-5,9.381924144352994e-9,0.0,0.0,0.0,0.0,7.409007817324648e-8,4.245048783121363e-6,-1.3807805406612075e-7,-7.911289741367915e-6,0.0
SM-MPG,0.2,124974.83941176429,0.00022139872635726073,2.3724382525328326e-20,0.012685212609842858,1.359306990255235e-18,7200.032931577683,-0.017493668091271054,-1.00231334983251,1.5707963267948963,89.99999999999999,0.004738205628668861,6503.111680028961,1.4397806668422046,1.5428231288319623e-16,124974.72290959851,0.00022140217192639588,1.0459613457125037e-18,0.012685410026412323,5.992917064315049e-17,7200.033075765965,-0.017493669065265716,-1.0023134056382934,1.5707963267948946,89.99999999999989,6503.1115635218375,1.4398030479692594,6.802003489013283e-15,0.00011650712349364767,-2.2381127054771355e-5,-6.647721176130087e-15,0.0001186373662595638,9.393142202363737e-9,1.1320914998056007e-7,6.486406496149638e-6,-2.150644432628369e-7,-1.2322284922291306e-5,1.4818015634649297e-7,8.490097566242727e-6,-2.761561081322415e-7,-1.582257948273583e-5,0.04738230089391581
SM-MPG,0.2,124974.83941176429,0.00022139872635726073,2.3724382525328326e-20,0.012685212609842858,1.359306990255235e-18,7200.032931577683,-0.017493668091271054,-1.00231334983251,1.5707963267948963,89.99999999999999,0.004738205628668861,6503.111680028961,1.4397806668422046,1.5428231288319623e-16,124974.72290959851,0.00022140217192639588,1.0459613457125037e-18,0.012685410026412323,5.992917064315049e-17,7200.033075765965,-0.017493669065265716,-1.0023134056382934,1.5707963267948946,89.99999999999989,6503.1115635218375,1.4398030479692594,6.802003489013283e-15,0.00011650712349364767,-2.2381127054771355e-5,-6.647721176130087e-15,0.0001186373662595638,9.393142202363737e-9,1.1320914998056007e-7,6.486406496149638e-6,-2.150644432628369e-7,-1.2322284922291306e-5,1.4818015634649297e-7,8.490097566242727e-6,-2.761561081322415e-7,-1.582257948273583e-5,0.04738230089391581
SM-MPG,0.30000000000000004,124962.23727437924,0.00033209873237354144,6.52508018663621e-20,0.019027855746648566,3.738595556786903e-18,7200.049423399664,-0.017513856427682658,-1.003470056304285,1.5707963267948961,89.99999999999997,0.009481159768604936,6503.09887866238,2.1596709734999684,4.24332439848681e-16,124962.08436439777,0.0003321032578895938,1.5689420185687556e-18,0.019028115039618484,8.989375596472573e-17,7200.0496136489455,-0.017513857337926927,-1.0034701084574402,1.5707963267948937,89.99999999999983,6503.098725742633,2.159700352596432,1.0202985404375304e-14,0.0001529197470517829,-2.937909646361092e-5,-9.778652964526623e-15,0.00015571634579388067,9.404392524573895e-9,1.1320914998056007e-7,6.486406496149638e-6,-2.150644432628369e-7,-1.2322284922291306e-5,2.2227023451973944e-7,1.2735146349364091e-5,-4.1423416219836223e-7,-2.3733869224103744e-5,0.04742978653476251
SM-MPG,0.30000000000000004,124962.23727437924,0.00033209873237354144,6.52508018663621e-20,0.019027855746648566,3.738595556786903e-18,7200.049423399664,-0.017513856427682658,-1.003470056304285,1.5707963267948961,89.99999999999997,0.009481159768604936,6503.09887866238,2.1596709734999684,4.24332439848681e-16,124962.08436439777,0.0003321032578895938,1.5689420185687556e-18,0.019028115039618484,8.989375596472573e-17,7200.0496136489455,-0.017513857337926927,-1.0034701084574402,1.5707963267948937,89.99999999999983,6503.098725742633,2.159700352596432,1.0202985404375304e-14,0.0001529197470517829,-2.937909646361092e-5,-9.778652964526623e-15,0.00015571634579388067,9.404392524573895e-9,1.1320914998056007e-7,6.486406496149638e-6,-2.150644432628369e-7,-1.2322284922291306e-5,2.2227023451973944e-7,1.2735146349364091e-5,-4.1423416219836223e-7,-2.3733869224103744e-5,0.04742978653476251
SM-MPG,0.4,124949.62057471824,0.00044279916759858536,1.313578166340594e-19,0.025370523475304933,7.526248499184964e-18,7200.065934304563,-0.017534044498488152,-1.0046267475579513,1.570796326794896,89.99999999999996,0.014228875130068458,6503.085983041045,2.879561248312189,8.542312598608588e-16,124949.44581919702,0.00044280434385279176,2.0919226914250075e-18,0.025370820052824646,1.1985834128630098e-16,7200.066151531928,-0.01753404561058814,-1.004626811276587,1.570796326794893,89.9999999999998,6503.085808270636,2.879594832555862,1.3603954100307581e-14,0.0001747704091030755,-3.3584243673168146e-5,-1.2749722840446723e-14,0.00017796796712092632,9.415675223736476e-9,1.1320914998056007e-7,6.486406496149638e-6,-2.150644432628369e-7,-1.2322284922291306e-5,2.9636031269298593e-7,1.6980195132485453e-5,-5.52312216264483e-7,-3.164515896547166e-5,0.04747739927943336
